org_name,org_uuid,founder_linkedin_url
.Club Domains,477b73e7-f956-955d-06c0-2dc705a7e6de,https://www.linkedin.com/in/jwsass/
.Club Domains,477b73e7-f956-955d-06c0-2dc705a7e6de,https://www.linkedin.com/in/colinccampbell/
.Club Domains,477b73e7-f956-955d-06c0-2dc705a7e6de,https://www.linkedin.com/in/dirkbhagat/
0glass,0ae0c059-31ac-4979-132f-352b31a6d448,https://www.linkedin.com/in/bobosu/
100offer,0cebce5a-3efc-dd27-5ce6-a42245a79cf9,https://www.linkedin.com/in/otis-fan-47619247/
100offer,0cebce5a-3efc-dd27-5ce6-a42245a79cf9,https://www.linkedin.com/in/robert-chen-952b8283
101 Edu,934bd25a-4b91-9d78-12c3-524c679d3e69,https://www.linkedin.com/in/igorbelyayev/
17hats,c852c5d3-220d-2eb6-c78e-3c9148430ce4,https://www.linkedin.com/in/donovanjanus
1928 Diagnostics,e862bea8-d437-2370-6ccc-b117d5549e51,https://www.linkedin.com/in/kristina-lagerstedt-5ab3b54b/
1928 Diagnostics,e862bea8-d437-2370-6ccc-b117d5549e51,https://www.linkedin.com/in/susanne-staaf-65a32b20/?locale=de_DE
1939 Games,87366b68-8997-b2e3-a601-bb37ee89a1fd,https://www.linkedin.com/in/guðmundur-kristjánsson-2b5611b9
1939 Games,87366b68-8997-b2e3-a601-bb37ee89a1fd,https://www.linkedin.com/in/ivar-kristjansson-779b
1DOC3,474524a8-5ffa-8ef9-a4c9-3effe64e21e0,https://www.linkedin.com/in/nicolasduranl/
1Drop Diagnostics,df4774f0-cfd6-e0f7-abae-0394e7c658ef,https://www.linkedin.com/in/zieglerjoerg/
1Drop Diagnostics,df4774f0-cfd6-e0f7-abae-0394e7c658ef,https://www.linkedin.com/in/lucgervais/
1Huddle,51e4aae5-6ad5-e054-317b-7428bffd0870,https://www.linkedin.com/in/samcaucci
1Kubator,d2cb9430-8532-4d2a-b11e-154d51236760,http://www.linkedin.com/pub/alexandre-fourtoy/8/9b6/865
200° Coffee,9edea293-d1b0-46c2-bfb4-104c4802c71c,https://www.linkedin.com/in/robdarby200degs
200° Coffee,9edea293-d1b0-46c2-bfb4-104c4802c71c,https://www.linkedin.com/in/tom-vincent-24b4b913
2ULaundry,06585e67-25d0-8d49-0d93-aa6b0a435f86,https://www.linkedin.com/in/alex-smereczniak-40310329/
2ULaundry,06585e67-25d0-8d49-0d93-aa6b0a435f86,https://www.linkedin.com/in/daquisto
2hire,868931e1-64fc-ddcd-c5fa-a79cbfcf1e24,https://www.linkedin.com/in/andrea-verdelocco-1ab87683/
2hire,868931e1-64fc-ddcd-c5fa-a79cbfcf1e24,https://www.linkedin.com/in/elisabetta-mari/?locale=it_IT
2hire,868931e1-64fc-ddcd-c5fa-a79cbfcf1e24,https://www.linkedin.com/in/FilippoAgostino/
2hire,868931e1-64fc-ddcd-c5fa-a79cbfcf1e24,https://www.linkedin.com/in/mfilippi/
2mee,2886107f-49d2-5903-19c6-95b18fa9b00f,https://www.linkedin.com/in/jamesrileyten54/
2mee,2886107f-49d2-5903-19c6-95b18fa9b00f,https://www.linkedin.com/in/chris-knight-16a6a319
3D Repo,d57d6ca9-0a95-3052-4b42-0a92fdb0b7bb,https://www.linkedin.com/in/jozefdobos/
"3DiVi, Inc.",dc2fc714-b66b-9beb-506e-8a567bacc807,http://www.linkedin.com/pub/dmitry-morozov/0/580/218
3Diligent,499ac893-025a-a724-29fe-6dcd65cd830f,https://www.linkedin.com/in/cullen-hilkene-b9a65822
3dplusme,287dea3c-d74a-4ad0-b993-6ce04d3b2e7a,https://www.linkedin.com/in/chrisknudsen
4D Healthware,7c5c85fc-d5e9-c5f4-47ef-6caf3e4e3bfe,https://www.linkedin.com/in/starcunningham8/
4tigo,e562ce6e-a2be-9c09-e2d1-1f2fc068e045,https://www.linkedin.com/in/vivek-malhotra-733161
56xiaomi,2918fcd0-74d4-4c56-b242-3e14ee20e729,https://www.linkedin.com/in/rayen
5C Network,53540bbe-664b-86f4-520c-956a6d58c9a2,https://www.linkedin.com/in/syed-s-ahmed-06553114/?originalSubdomain=in
5G Dispensing Systems,8d90bdb5-0b2e-4833-a740-c4d32595776c,https://www.linkedin.com/in/lev-volftsun-3672706
802 Secure,20055ca4-c480-0b52-7f3f-cbcea17685c2,https://www.linkedin.com/in/garry-drummond-cissp-cwna-cwsp-7964b83
8Greens,64a1180d-9f74-40ad-a415-e8773c1ef343,https://www.linkedin.com/in/dawn-russell-0230a235
ACTON,e42b6da9-bb6e-178a-34d2-7783bfd5c5f9,https://www.linkedin.com/in/janellewang2011
ACTON,e42b6da9-bb6e-178a-34d2-7783bfd5c5f9,https://www.linkedin.com/in/peter-treadway-49496844
AEENA Dx,c17e8c24-1951-c023-2ea6-1a661b10c1c9,https://www.linkedin.com/in/sandy-shaw-2b0242168
AEInnova,316e4b4c-a8b4-a973-493e-dc5414c596c0,https://www.linkedin.com/in/ra%C3%BAl-aragon%C3%A9s-ortiz-phd-77bb9a60/
AEInnova,316e4b4c-a8b4-a973-493e-dc5414c596c0,https://www.linkedin.com/in/jos%C3%A9-antonio-molina-rodr%C3%ADguez-b1558327/
AGI Innovations Inc.,6ba01ff6-2f4e-9a1d-cb21-a3a79b6335b9,https://www.linkedin.com/in/vosspeter/
AGRIVI,977f4604-8408-9999-2d6d-18de3e74183b,http://www.linkedin.com/in/matijazulj
AI Samurai,bae5f5fb-a917-45e6-9f41-ca21a20354c4,https://www.linkedin.com/in/hajime-shirasaka-b2b11868
AIR.TV,13be57c2-10f0-fd39-d06c-6d261fe8d0b9,http://www.linkedin.com/in/lukemcdonough
AJYAGURU,6ab7a319-2482-492a-adc3-7079a825e83d,https://www.linkedin.com/in/fora-zhu-3488573/
ALTILIA,9632dcc5-9309-5d20-3a24-240408c129ca,http://www.linkedin.com/in/massimoruffolo
ALTILIA,9632dcc5-9309-5d20-3a24-240408c129ca,https://www.linkedin.com/in/lindaoro
AMI,02966b7b-565e-89a0-799e-d7669defb995,https://www.linkedin.com/in/amaldaraziz/
AMI,02966b7b-565e-89a0-799e-d7669defb995,https://www.linkedin.com/in/philipmonroe
